"Write creation type","Class Roll Number","Write creation's  name","Write problem"
"Roadways, passages & underpasses",2014006,"Main road Lakkar Mandi, Doraha","Problems related to this are basically after construction which are faced by the nearby locality which involves the issue of water logging which is basically the major concern of  each road in India.
 Reason of this issue is basically the improper quality control at the site and improper level of roads leading to improper drainage and one main issue is that existing site engineers do not opt for the upcoming modern construction techniques which are like pervious members to remove excess of water.
Drainage issue generally arise due to improper drainage layout or the improper laying of drainage pipe lines, in case of rainfall these are generally provided with pumps to remove excess of rainfall water fitted in sewage system in locality but due to inefficiency of these pumps or lower output ratings to reduce inventory cost it couldn’t completely remove this excess of water thus leading to water logging in such areas. Consequences of this problem is that it lead to cause health issues and cause viral infection due to unhygienic issues, due to stagnant water mosquito breeding also occurs which lead to cause health issues.
One more problem with this construction is wearing and tearing of the top most surface of the roads which lead to degrade aesthetic appearance of the roads as well as also lead to accidents due to improper surface smoothness. 
So basically these are the issues which are faced due to the improper road construction and passages. 
In between construction phase problem related to disputes among the locality people also occur which lead to chaos and verbal fights among them, in which they basically demand about construction around there shelter in the way they want which lead to chaos among the contractor, labourers and the people nearby which also a problem which is basically related to noise and headache to nearby locality people."
It's can be residential or business used,2014026,Foundation ,"Foundation settlement
Causes
1.poor compaction of soil
2.not provide proper reinforcement
3.type of soil it may be sandy or clayey it can easily fail
4.overweight of the structure
Prevention
1.soil type knowledge and knowledge about what is the water level at this region
2.according to load of structure the design of foundation may done
3.proper compaction of soil"
Road passage for traveling,2014041,Underpass,"See there are number of underpass constructed in the field of civil engineering, and it's give number of benefits to the society but there is a major cause that every underpass have is that, there is problem of drainage . The problem of drainage is such a big cause in the construction of underpass which makes traveling uncomfortable mostly during rainy season. The engineers try to give  number of remidies to overcome the problem of drainage but still we all see the problem of drainage in the underpass. So there is need to overcome the problem of drainage. "
Construction of building and houses ,2014041,House and building,"See there is big problem of regularly removal of the vegetation and plantation, trees, from the land where the building is constructing to make the land fit for  construction. This problem reduces the environmental resources in the surrounding. So that there is need to make some solutions in such a way that there is less removal of plantation and the building construction become efficient. "
Construction and structural ,2014042,RK residential building ,"Cracks , RCC corrosion  and water leakage "
Building,2014043,Residential,Dampness
Tunnel,2014044,Atal Tunnel,"Fault (Problem)
Faults are mainly cracks that occurs during the construction period. These cracks decrease the load bearing capacity of the land and chance of collapse and settlement will increase. 
(Solution)
Pre-grouting "
Residential building ,2014051,Residential ,Dampness
Building ,2014080,Residental building ,"●Problem:-Removal of paint on building or blister in paint on building
●Causes:- 1)sometimes mositure trapped beneath the paints
2)there are leaks issues.
3)surface on which paints is done ,not properly prepared or cleaned that surface before doing the paint, also leads to removal of paint.
4)sometimes walls of building directly exposed with high temperature(Sun light) or high humidity (because of rain).
5)if there is humid condition, we apply too thick paint,it leads to dry the outer layer faster as compared to inner layer ,this is also leading to blistering 
●Prevention:-1)Properly prepared the surface before doing the painting. 
2)Use high quality materials for paints
3)Also avoid painting in unfavorable condition (in heavy raining conditions)
4)Never apply the new paint layer on effected layer(on which blistering occurs),need to find the cause root of that problem 
5)we also apply layer of oil or grease,which prevent entering of water comes from outside."
Building ,2014090,Residential building ,"Problem - Dampness 
Cause - improper drainage: Rainwater collect on the roof , Cracks ,  poor ventilation 
Effects- crumbling of plaster, destroys aesthetic look,damp odor. 
Remedies - filling the cracks , provide proper drainage system, good ventilation "
Residential Building ,2014093,Girls hostle no. 4(GNDEC),"Leaking of water from slab and dampness is the major problem in girls hostle and that is majorly occurring due to the leakage of pipes and the water is coming to down floors and the reinforced concrete is getting deteriorated, which is obviously not safe but the slab is showing warnings as it may be under reinforced but the proper action meeds to be taken as soon as possible and i have raised this concern in front of warden and chief warden  as well and the construction is going on and the pipes are being changed."
Structural creation ,2014102,Brickwork,Efflorescense 
Structural,2014102,"Concrete structures slab, walls etc",Dampness is most common problem faced which cause failures of structures and regular maintenance is required. 
Structure,2014118,Slab/Beam,Honeycombing
Structure,2014124,Staircase ,"If the pitch angle is more than the permissible limits (i.e. 25° - 40°), it may cause fatigue to older/ageing persons."
